id,session_id,tg_user_id,event_type,event_name,page,metadata,created_at,event_category,event_subtype,element_id,element_type,section,scroll_depth,time_spent,interaction_count,previous_event_id,step_number,completion_rate,error_message,custom_data
629,67,,app,miniapp_open,,,2026-01-25 19:45:57,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
630,67,,content,content_view,,,2026-01-25 19:45:58,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
631,66,,content,content_view,,,2026-01-25 19:46:13,engagement,,,,,0,510,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
632,57,,content,content_view,,,2026-01-25 19:51:42,engagement,,,,,0,7837,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
633,57,,content,content_view,,,2026-01-25 19:52:23,engagement,,,,,0,7878,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
634,57,,content,content_view,,,2026-01-25 19:52:37,engagement,,,,,0,7892,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
635,57,,content,content_view,,,2026-01-25 19:53:14,engagement,,,,,0,7929,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
636,57,,content,content_view,,,2026-01-25 19:53:32,engagement,,,,,0,7947,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
637,57,,content,content_view,,,2026-01-25 19:54:19,engagement,,,,,0,7994,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
638,57,,content,content_view,,,2026-01-25 19:56:42,engagement,,,,,0,8137,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
639,57,,content,content_view,,,2026-01-25 19:58:08,engagement,,,,,0,8223,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
640,57,,content,content_view,,,2026-01-25 19:59:09,engagement,,,,,0,8284,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
641,57,,content,content_view,,,2026-01-25 20:22:00,engagement,,,,,0,9655,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
642,66,,content,content_view,,,2026-01-25 20:22:28,engagement,,,,,0,2684,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
643,68,,visit,source_visit,,,2026-01-25 20:35:10,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
644,68,,app,miniapp_open,,,2026-01-25 20:35:11,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
645,68,,content,content_view,,,2026-01-25 20:35:11,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
646,69,,visit,source_visit,,,2026-01-25 20:35:22,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
647,69,,app,miniapp_open,,,2026-01-25 20:35:22,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
648,69,,content,content_view,,,2026-01-25 20:35:22,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
